iso3,country,year,gdp_usd,market_cap_usd,conglomerate_share_percent
AUS,Australia,1965,2166843373416.02,1526520372216.44,6.9
AUS,Australia,1970,2371662984300.06,1813429994104.77,7.84
AUS,Australia,1975,2598820971112.18,1644055495966.08,7.03
AUS,Australia,1980,2826635597202.91,1797581051942.72,7.71
AUS,Australia,1985,2613762071127.31,1621872522424.72,7.82
AUS,Australia,1990,2531548457186.96,1644868403559.31,9.34
AUS,Australia,1995,2761965331422.24,2355065824713.06,9.47
AUS,Australia,2000,2973776272851.44,2034592296533.93,9.05
AUS,Australia,2005,2927845217881.22,1930221789748.64,9.57
AUS,Australia,2010,3120548916848.39,2019004478203.26,10.53
AUS,Australia,2015,3622407857415.57,2113921054642.18,11.79
AUS,Australia,2020,3396792397351.21,3202697452147.44,12.41
AUS,Australia,2025,3262888952468.56,2834766860376.79,12.43
